CIK,Ticker,Name,Position,Year,Salary,Stock Awards,Option Awards,Non-Equity Incentive Compensation,Other Compensation,Total
320193,AAPL,Tim Cook,Chief Executive Officer,2023,3000000,0,0,0,0,63209845
320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2023,1000000,0,0,0,0,26935883
320193,AAPL,Kate Adams,"Senior Vice President, General Counsel and Secretary",2023,1000000,0,0,0,0,26941705
320193,AAPL,Deirdre O Brien,"Senior Vice President, Retail",2023,1000000,0,0,0,0,26937010
320193,AAPL,Jeff Williams,Chief Operating Officer,2023,1000000,0,0,0,0,26961226
320193,AAPL,Jeff Williams,Chief Operating Officer,2022,1000000,22132015,0,4000000,18337,27150352
320193,AAPL,Deirdre O Brien,"Senior Vice President, Retail",2022,1000000,22132015,0,4000000,19783,27151798
320193,AAPL,Tim Cook,Chief Executive Officer,2022,3000000,82994164,0,12000000,1425933,99420097
320193,AAPL,Kate Adams,"Senior Vice President, General Counsel and Secretary",2022,1000000,22132015,0,4000000,15208,27147223
320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2022,1000000,22132015,0,4000000,19783,27151798
320193,AAPL,Jeff Williams,Chief Operating Officer,2021,1000000,21959620,0,4000000,17437,26977057
320193,AAPL,Tim Cook,Chief Executive Officer,2021,3000000,82347835,0,12000000,1386559,98734394
320193,AAPL,Kate Adams,"Senior Vice President, General Counsel and Secretary",2021,1000000,21959620,0,4000000,14533,26974153
320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2021,1000000,21959620,0,4000000,18883,26978503
320193,AAPL,Deirdre O Brien,"Senior Vice President, Retail",2021,1000000,21959620,0,4000000,61191,27020811
320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2020,1000000,21657687,0,3577000,18583,26253270
320193,AAPL,Tim Cook,Chief Executive Officer,2020,3000000,0,0,10731000,1038259,14769259
320193,AAPL,Deirdre O Brien,"Senior Vice President, Retail + People",2020,1000000,21657687,0,3577000,37684,26272371
320193,AAPL,Kate Adams,"Senior Vice President, General Counsel and Secretary",2020,1000000,21657687,0,3577000,14310,26248995
320193,AAPL,Jeff Williams,Chief Operating Officer,2020,1000000,21657687,0,3577000,17137,26251824
320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2019,1000000,21633416,0,2557000,19221,25209637
320193,AAPL,Deirdre O Brien,"Senior Vice President, Retail + People",2019,877500,16469527,0,1795000,17753,19159780
320193,AAPL,Angela Ahrendts,"Former Senior Vice President, Retail",2019,630361,21633416,0,0,14465,22278242
320193,AAPL,Tim Cook,Chief Executive Officer,2019,3000000,0,0,7671000,884466,11555466
320193,AAPL,Kate Adams,"Senior Vice President, General Counsel and Secretary",2019,1000000,21633416,0,2557000,41384,25231800
320193,AAPL,Jeff Williams,Chief Operating Officer,2019,1000000,21633416,0,2557000,17503,25207919
